uf;estado;regiao;numerotitulos;remuneracaoMedia
AC;Acre;Norte;18;19.818,26
AP;Amapá;Norte;29;14.222,43
AM;Amazonas;Norte;1053;17.149,92
PA;Pará;Norte;2186;16.069,57
RO;Rondônia;Norte;59;16.761,04
RR;Roraima;Norte;9;17.655,88
TO;Tocantins;Norte;102;16.130,98
AL;Alagoas;Nordeste;463;17.329,95
BA;Bahia;Nordeste;4869;15.977,51
CE;Ceará;Nordeste;4446;15.856,91
MA;Maranhão;Nordeste;281;18.145,51
PB;Paraíba;Nordeste;3781;19.108,37
PE;Pernambuco;Nordeste;7292;15.999,51
PI;Piauí;Nordeste;266;18.534,77
RN;Rio Grande do Norte;Nordeste;3162;17.350,66
SE;Sergipe;Nordeste;558;15.985,31
ES;Espírito Santo;Sudeste;995;16.464,84
MG;Minas Gerais;Sudeste;19766;16.087,05
RJ;Rio de Janeiro;Sudeste;32719;17.158,26
SP;São Paulo;Sudeste;101880;13.752,41
PR;Paraná;Sul;9496;17.143,50
RS;Rio Grande do Sul;Sul;20275;15.568,55
SC;Santa Catarina;Sul;7191;15.033,66
DF;Distrito Federal;Centro-Oeste;5930;19.795,82
GO;Goiás;Centro-Oeste;2181;16.886,25
MT;Mato Grosso;Centro-Oeste;334;20.489,98
MS;Mato Grosso do Sul;Centro-Oeste;783;16.821,99
